tanggal_update,tanggal_update_api,kabupaten_kota,icu_tanpa_tekanan_negatif_dengan_ventilator_tersedia,icu_tanpa_tekanan_negatif_dengan_ventilator_terpakai,icu_tanpa_tekanan_negatif_tanpa_ventilator_tersedia,icu_tanpa_tekanan_negatif_tanpa_ventilator_terpakai,icu_tekanan_negatif_dengan_ventilator_tersedia,icu_tekanan_negatif_dengan_ventilator_terpakai,icu_tekanan_negatif_tanpa_ventilator_tersedia,icu_tekanan_negatif_tanpa_ventilator_terpakai,isolasi_tanpa_tekanan_negatif_tersedia,isolasi_tanpa_tekanan_negatif_terpakai,isolasi_tekanan_negatif_tersedia,isolasi_tekanan_negatif_terpakai,total_icu_covid_tersedia,total_icu_covid_terpakai,total_isolasi_covid_tersedia,total_isolasi_covid_terpakai,nicu_covid_tersedia,nicu_covid_terpakai,picu_covid_tersedia,picu_covid_terpakai,tersedia_all,terpakai_all,bor_percent,igd_covid_tersedia,igd_covid_terpakai,vk_covid_tersedia,vk_covid_terpakai,tersedia_h_k_m,terpakai_h_k_m,bor_percent_h_k_m,id
2020-10-06 00:00:00,,Bandung,0,0,0,0,10,9,0,0,58,40,15,10,10,9,73,50,0,0,0,0,83,59,39.91125,0,0,0,0,83,59,39.91125,1
2020-10-06 00:00:00,,Bandung Barat,3,0,3,0,7,0,0,0,60,2,13,5,13,0,73,7,0,0,0,0,86,7,5.5775,0,0,0,0,80,7,5.7075,2
2020-10-06 00:00:00,,Bekasi,17,5,6,1,12,3,6,5,382,218,140,99,41,14,522,317,2,1,0,0,565,332,32.2512244897959,0,0,0,0,534,320,32.3859183673469,3
2020-10-06 00:00:00,,Bogor,6,0,8,1,36,23,3,1,383,269,257,176,53,25,640,445,3,0,0,0,696,470,43.694,0,0,0,0,676,468,44.789,4
2020-10-06 00:00:00,,Ciamis,1,0,6,0,0,0,1,0,14,5,3,2,8,0,17,7,0,0,0,0,25,7,10.0,0,0,0,0,17,7,10.0,5
2020-10-06 00:00:00,,Cianjur,0,0,20,6,1,0,1,0,68,47,16,7,22,6,84,54,0,0,0,0,106,60,37.738,0,0,0,0,85,54,42.58,6
2020-10-06 00:00:00,,Cirebon,5,1,3,2,5,0,7,7,79,67,78,57,20,10,157,124,0,0,0,0,177,134,53.12,0,0,0,0,162,124,54.165,7
2020-10-06 00:00:00,,Garut,8,5,0,0,0,0,0,0,54,25,7,1,8,5,61,26,0,0,0,0,69,31,11.31,0,0,0,0,61,26,11.0616666666667,8
2020-10-06 00:00:00,,Indramayu,0,0,7,0,2,1,4,2,39,23,8,4,13,3,47,27,0,0,0,0,60,30,16.3109090909091,0,0,0,0,49,28,15.1745454545455,9
2020-10-06 00:00:00,,Karawang,0,0,0,0,12,3,6,2,89,58,211,35,18,5,300,93,2,0,2,0,322,98,19.4158333333333,0,0,0,0,312,96,19.66125,10
